grid-id,flight,Calibration Coefficients (.CLC),Calibration Info (.CLI),Debug Log (.DBG),Inertial Measurement Data (.IMU),RGB Camera Image (.JPG),LiDAR Raw Data (.LDR),LiDAR Trajectory (.LDRT),Event Marker (.MRK),Real-time Position (.RPOS),Flight Report (.RPT),RTK Base Data (.RTB),RTK Positioning (.RTK),RTK Log (.RTL),Sync Signal (.SIG),Flight Plan (.pdf)
RUH-Site02-Grid12,2,2,2,2,2,531,2,2,2,2,2,2,2,2,2,1
RUH-Site02-Grid15,4,4,4,4,4,1137,4,4,4,4,4,4,4,4,4,1
RUH-Site02-Grid16,4,4,4,4,4,1156,4,4,4,4,4,4,4,4,4,1
RUH-Site02-Grid17,4,3,3,3,3,1198,3,3,4,3,4,3,4,3,4,1
RUH-Site02-Grid19,3,3,3,3,3,918,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid20,3,3,3,3,3,1140,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid21,3,3,3,3,3,1103,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid23,3,3,3,3,3,1250,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid24,3,3,3,3,3,1268,3,3,3,3,3,3,3,3,3,1
RUH-Site03-Grid01,2,2,2,2,2,592,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid02,2,2,2,2,2,994,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid03,2,2,2,2,2,620,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid04,1,1,1,1,1,622,1,1,1,1,1,1,1,1,1,1
RUH-Site03-Grid05,1,1,1,1,1,568,1,1,1,1,1,1,1,1,1,1
RUH-Site03-Grid06,2,2,2,2,2,1398,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid07,2,2,2,2,2,926,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid08,2,2,2,2,2,1338,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid09,2,2,2,2,2,1108,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid10,2,2,2,2,2,948,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid11,1,1,1,1,1,786,1,1,1,1,1,1,1,1,1,1
RUH-Site03-Grid12,2,2,2,2,2,728,2,2,2,2,2,2,2,2,2,1
RUH-Site03-Grid13,2,2,2,2,2,818,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid100,2,2,2,2,2,1524,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid102,2,2,2,2,2,1382,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid118,3,3,3,3,3,1302,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid119,2,2,2,2,2,1090,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid120,2,2,2,2,2,1034,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid134,2,2,2,2,2,1378,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid136,2,2,2,2,2,1570,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid138,4,4,4,4,4,1732,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid150,2,3,3,3,3,1478,3,3,2,3,3,3,3,3,3,1
RUH-Site04-Grid151,3,3,3,3,3,1580,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid155,2,2,2,2,2,1394,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid157,1,1,1,1,1,770,1,1,1,1,1,1,1,1,1,1
RUH-Site04-Grid167,3,3,3,3,3,1548,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid168,3,3,3,3,3,1500,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid170,2,2,2,2,2,1162,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid172,2,2,2,2,2,1292,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid185,3,3,3,3,3,1388,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid188,2,2,2,2,2,932,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid197,6,6,6,6,6,1514,6,6,6,6,6,6,6,6,6,1
RUH-Site04-Grid203,2,2,2,2,2,1392,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid205,3,3,3,3,3,1492,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid206,1,1,1,1,1,586,1,1,1,1,1,1,1,1,1,1
RUH-Site04-Grid216,3,3,3,3,3,1540,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid217,2,2,2,2,2,1564,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid221,2,2,2,2,2,1510,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid223,2,2,2,2,2,1120,2,2,2,2,3,2,2,2,2,1
RUH-Site04-Grid233,2,2,2,2,2,1458,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid234,2,2,2,2,2,1456,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid250,2,2,2,2,2,732,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid252,2,2,2,2,2,1332,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid253,3,3,3,3,3,1162,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid43,2,2,2,2,2,1590,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid49,2,2,2,2,2,868,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid51,3,3,3,3,3,1388,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid67,2,2,2,2,2,1382,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid83,2,2,2,2,2,980,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid83,3,3,3,3,3,910,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid97,1,1,1,1,1,686,1,1,1,1,1,1,1,1,1,1
RUH-Site04-Grid02,2,2,2,2,2,1326,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid13,1,1,1,1,1,656,1,1,1,1,1,1,1,1,1,1
RUH-Site04-Grid15,1,1,1,1,1,336,1,1,1,1,1,1,1,1,1,1
RUH-Site04-Grid16,1,1,1,1,1,758,1,1,1,1,1,1,1,1,1,1
