grid-id,flight,Calibration Coefficients (.CLC),Calibration Info (.CLI),Debug Log (.DBG),Inertial Measurement Data (.IMU),RGB Camera Image (.JPG),LiDAR Raw Data (.LDR),LiDAR Trajectory (.LDRT),Event Marker (.MRK),Real-time Position (.RPOS),Flight Report (.RPT),RTK Base Data (.RTB),RTK Positioning (.RTK),RTK Log (.RTL),Sync Signal (.SIG),Flight Plan (.pdf)
JED-Site01-Grid01,4,4,4,4,4,1600,4,4,4,4,4,4,4,4,4,1
JED-Site01-Grid12,3,3,3,3,3,2230,3,3,3,3,3,3,3,3,3,1
RUH-Site01-Grid118,2,2,2,2,2,1556,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid126,2,2,2,2,2,1518,2,2,2,2,2,2,2,2,2,1
RUH-Site01-Grid28,3,3,3,3,3,1612,3,3,3,3,3,3,3,3,3,1
RUH-Site02-Grid02,5,5,5,5,5,1241,5,5,5,5,5,5,5,5,5,1
RUH-Site02-Grid07,5,5,5,5,5,1146,5,5,5,5,5,5,5,5,5,1
RUH-Site02-Grid14,5,5,5,5,5,1102,5,5,5,5,5,5,5,5,5,1
RUH-Site04-Grid05,2,2,2,2,2,1326,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid08,3,3,3,3,3,1382,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid11,3,3,3,3,3,1324,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid132,2,2,2,2,2,1514,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid133,3,3,3,3,3,1388,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid139,2,2,2,2,2,1344,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid17,2,2,2,2,2,1378,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid171,3,3,3,3,3,1374,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid21,3,3,3,3,3,1466,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid215,4,4,4,4,4,1564,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid22,2,2,2,2,2,1406,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid222,4,4,4,4,4,1404,4,4,4,4,5,4,4,4,4,1
RUH-Site04-Grid24,2,2,2,2,2,1446,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid251,2,2,2,2,2,1044,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid26,2,2,2,2,2,1458,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid27,3,3,3,3,3,1444,3,3,3,3,3,3,3,3,3,1
