path,grid-id,report-json,contour,dem,dsm,orthophoto,pointcloud,multispectral,ndvi,msavi
D:\RUH\Site02\Grid02,RUH-Site02-Grid02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid03,RUH-Site02-Grid03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid04,RUH-Site02-Grid04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid05,RUH-Site02-Grid05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid06,RUH-Site02-Grid06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid07,RUH-Site02-Grid07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid08,RUH-Site02-Grid08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid09,RUH-Site02-Grid09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid10,RUH-Site02-Grid10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid11,RUH-Site02-Grid11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid12,RUH-Site02-Grid12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid13,RUH-Site02-Grid13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid14,RUH-Site02-Grid14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid15,RUH-Site02-Grid15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid16,RUH-Site02-Grid16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid17,RUH-Site02-Grid17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid19,RUH-Site02-Grid19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid20,RUH-Site02-Grid20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid21,RUH-Site02-Grid21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid22,RUH-Site02-Grid22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid23,RUH-Site02-Grid23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
D:\RUH\Site02\Grid24,RUH-Site02-Grid24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
